nameWithOwner,url,createdAt,stargazers,pullRequests
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,364440,32590
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,276067,8267
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,265548,1930
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,254637,871
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,249079,1848
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,236844,2225
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,236015,2810
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,217595,282
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,205792,13160
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,203154,2135
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,197595,198
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,173339,22618
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,168495,469
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,166723,824
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,164085,1457
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,163362,540
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,162895,14420
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,157644,6399
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,157248,6795
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,152189,42964
torvalds/linux,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,149609,451
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,146842,3800
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,144976,20104
ossu/computer-science,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,137822,395
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,135050,452
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,133597,133
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,133166,1357
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,132836,1042
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,127459,2700
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,119549,3928
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,115392,431
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,110450,1483
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,110272,2590
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,108964,11988
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,106838,18983
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,105014,1114
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,104319,15059
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,101699,426
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,99817,4065
axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,99715,1297
facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,99470,3725
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,98175,307
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,97462,73423
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,95199,196
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,94625,29674
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,93013,11185
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,90758,13860
microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,90372,15797
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,89536,4338
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,89477,499
denoland/deno,https://github.com/denoland/deno,2018-05-15T01:34:26Z,88927,10038
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,88635,891
microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,88358,3494
angular/angular,https://github.com/angular/angular,2014-09-18T16:12:01Z,87473,23501
mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,85804,18585
ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,85410,13728
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,82707,3959
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,81798,472
