nameWithOwner,url,createdAt,stargazers,pullRequests
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,364401,32589
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,275945,8266
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,265543,1930
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,254578,871
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,248971,1848
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,236762,2225
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,235916,2810
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,217520,282
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,205751,13158
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,203145,2135
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,197494,198
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,173303,22617
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,168430,469
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,166700,824
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,163906,1457
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,163342,540
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,162883,14418
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,157616,6399
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,157195,6793
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,152165,42938
torvalds/linux,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,149586,451
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,146810,3800
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,144943,20079
ossu/computer-science,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,137784,395
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,135011,452
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,133559,133
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,133139,1357
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,132823,1042
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,127373,2699
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,119506,3930
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,115377,431
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,110410,1483
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,110224,2588
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,108949,11980
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,106819,18980
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,105001,1114
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,104278,15043
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,101685,426
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,99767,4065
axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,99696,1296
facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,99456,3725
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,97833,307
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,97418,73397
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,95123,196
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,94597,29664
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,92761,11174
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,90734,13855
microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,90338,15793
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,89472,4337
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,89390,499
